io_mode	devices	streams	io_num	io_specs_per_device_iteration	submit_calls_per_device_iteration	bytes_per_device_iteration	iterations	exit_code	submit_avg_us	submit_p90_us	start_skew_max_us	start_skew_avg_us	start_skew_p90_us	group_wall_avg_us	group_wall_p90_us	wall_bw_gib_s	log
glm5.1	1	1	512	1536	1536	92274688	128	0	1896	2605	0	0	0	14434	15333	5.954	/workspace/dev-sandbox/logs/a3_all_host_ce_sdma_io_matrix/20260912_095638/ce_glm51_d1_s1.log
glm5.1	1	4	512	1536	1536	92274688	128	0	2514	2630	0	0	0	6659	7165	12.905	/workspace/dev-sandbox/logs/a3_all_host_ce_sdma_io_matrix/20260912_095638/ce_glm51_d1_s4.log
glm5.1	1	16	512	1536	1536	92274688	128	0	1962	2054	0	0	0	7203	8108	11.931	/workspace/dev-sandbox/logs/a3_all_host_ce_sdma_io_matrix/20260912_095638/ce_glm51_d1_s16.log
glm5.1	4	1	512	1536	1536	92274688	128	0	1959	2279	1	0	1	17534	18347	19.605	/workspace/dev-sandbox/logs/a3_all_host_ce_sdma_io_matrix/20260912_095638/ce_glm51_d4_s1.log
glm5.1	4	4	512	1536	1536	92274688	128	0	2002	2259	23	1	1	14833	9950	23.175	/workspace/dev-sandbox/logs/a3_all_host_ce_sdma_io_matrix/20260912_095638/ce_glm51_d4_s4.log
glm5.1	4	16	512	1536	1536	92274688	128	0	1767	1869	22	1	1	9425	9296	36.472	/workspace/dev-sandbox/logs/a3_all_host_ce_sdma_io_matrix/20260912_095638/ce_glm51_d4_s16.log
glm5.1	8	1	512	1536	1536	92274688	128	0	1936	2269	26	1	1	18516	19221	37.130	/workspace/dev-sandbox/logs/a3_all_host_ce_sdma_io_matrix/20260912_095638/ce_glm51_d8_s1.log
glm5.1	8	4	512	1536	1536	92274688	128	0	1822	2029	11	1	1	16543	11247	41.558	/workspace/dev-sandbox/logs/a3_all_host_ce_sdma_io_matrix/20260912_095638/ce_glm51_d8_s4.log
glm5.1	8	16	512	1536	1536	92274688	128	0	2135	2375	15	1	1	10285	9314	66.845	/workspace/dev-sandbox/logs/a3_all_host_ce_sdma_io_matrix/20260912_095638/ce_glm51_d8_s16.log
1m	1	1	512	512	512	536870912	128	0	543	576	0	0	0	10827	10862	46.181	/workspace/dev-sandbox/logs/a3_all_host_ce_sdma_io_matrix/20260912_095638/ce_1m_d1_s1.log
1m	1	4	512	512	512	536870912	128	0	706	739	0	0	0	9144	9160	54.681	/workspace/dev-sandbox/logs/a3_all_host_ce_sdma_io_matrix/20260912_095638/ce_1m_d1_s4.log
1m	1	16	512	512	512	536870912	128	0	716	861	0	0	0	9287	9311	53.839	/workspace/dev-sandbox/logs/a3_all_host_ce_sdma_io_matrix/20260912_095638/ce_1m_d1_s16.log
1m	4	1	512	512	512	536870912	128	0	681	729	1	0	1	15673	15844	127.608	/workspace/dev-sandbox/logs/a3_all_host_ce_sdma_io_matrix/20260912_095638/ce_1m_d4_s1.log
1m	4	4	512	512	512	536870912	128	0	719	807	12	1	1	13997	14002	142.888	/workspace/dev-sandbox/logs/a3_all_host_ce_sdma_io_matrix/20260912_095638/ce_1m_d4_s4.log
1m	4	16	512	512	512	536870912	128	0	707	826	6	0	1	14125	14159	141.593	/workspace/dev-sandbox/logs/a3_all_host_ce_sdma_io_matrix/20260912_095638/ce_1m_d4_s16.log
1m	8	1	512	512	512	536870912	128	0	699	802	6	1	1	36813	36882	108.657	/workspace/dev-sandbox/logs/a3_all_host_ce_sdma_io_matrix/20260912_095638/ce_1m_d8_s1.log
1m	8	4	512	512	512	536870912	128	0	630	692	58	1	1	27797	27806	143.900	/workspace/dev-sandbox/logs/a3_all_host_ce_sdma_io_matrix/20260912_095638/ce_1m_d8_s4.log
1m	8	16	512	512	512	536870912	128	0	674	724	18	1	1	27869	27890	143.529	/workspace/dev-sandbox/logs/a3_all_host_ce_sdma_io_matrix/20260912_095638/ce_1m_d8_s16.log
