io_mode	devices	streams	io_num	io_specs_per_device_iteration	submit_calls_per_device_iteration	bytes_per_device_iteration	iterations	exit_code	submit_avg_us	submit_p90_us	start_skew_max_us	start_skew_avg_us	start_skew_p90_us	group_wall_avg_us	group_wall_p90_us	wall_bw_gib_s	log
glm5.1	1	1	512	1536	512	92274688	128	0	1158	1197	0	0	0	3699	3721	23.233	/workspace/dev-sandbox/logs/a3_all_host_ce_sdma_io_matrix/20260912_095638/sdma_glm51_d1_s1.log
glm5.1	1	4	512	1536	512	92274688	128	0	1989	2145	0	0	0	2088	2203	41.158	/workspace/dev-sandbox/logs/a3_all_host_ce_sdma_io_matrix/20260912_095638/sdma_glm51_d1_s4.log
glm5.1	1	16	512	1536	512	92274688	128	0	1980	2104	0	0	0	2077	2188	41.376	/workspace/dev-sandbox/logs/a3_all_host_ce_sdma_io_matrix/20260912_095638/sdma_glm51_d1_s16.log
glm5.1	4	1	512	1536	512	92274688	128	0	1347	1407	14	1	1	4307	4345	79.812	/workspace/dev-sandbox/logs/a3_all_host_ce_sdma_io_matrix/20260912_095638/sdma_glm51_d4_s1.log
glm5.1	4	4	512	1536	512	92274688	128	0	1527	1884	1	0	1	2591	2708	132.671	/workspace/dev-sandbox/logs/a3_all_host_ce_sdma_io_matrix/20260912_095638/sdma_glm51_d4_s4.log
glm5.1	4	16	512	1536	512	92274688	128	0	2150	2369	3	0	1	3355	3376	102.459	/workspace/dev-sandbox/logs/a3_all_host_ce_sdma_io_matrix/20260912_095638/sdma_glm51_d4_s16.log
glm5.1	8	1	512	1536	512	92274688	128	0	1622	1739	25	1	1	5850	5863	117.521	/workspace/dev-sandbox/logs/a3_all_host_ce_sdma_io_matrix/20260912_095638/sdma_glm51_d8_s1.log
glm5.1	8	4	512	1536	512	92274688	128	0	1753	1955	1	1	1	5025	5036	136.816	/workspace/dev-sandbox/logs/a3_all_host_ce_sdma_io_matrix/20260912_095638/sdma_glm51_d8_s4.log
glm5.1	8	16	512	1536	512	92274688	128	0	1882	2183	26	1	1	5033	5061	136.598	/workspace/dev-sandbox/logs/a3_all_host_ce_sdma_io_matrix/20260912_095638/sdma_glm51_d8_s16.log
1m	1	1	512	512	512	536870912	128	0	1658	1774	0	0	0	7409	7418	67.485	/workspace/dev-sandbox/logs/a3_all_host_ce_sdma_io_matrix/20260912_095638/sdma_1m_d1_s1.log
1m	1	4	512	512	512	536870912	128	0	1932	2495	0	0	0	5459	5518	91.592	/workspace/dev-sandbox/logs/a3_all_host_ce_sdma_io_matrix/20260912_095638/sdma_1m_d1_s4.log
1m	1	16	512	512	512	536870912	128	0	1707	1996	0	0	0	5328	5407	93.844	/workspace/dev-sandbox/logs/a3_all_host_ce_sdma_io_matrix/20260912_095638/sdma_1m_d1_s16.log
1m	4	1	512	512	512	536870912	128	0	1642	1778	1	0	1	14331	14349	139.558	/workspace/dev-sandbox/logs/a3_all_host_ce_sdma_io_matrix/20260912_095638/sdma_1m_d4_s1.log
1m	4	4	512	512	512	536870912	128	0	1245	1397	1	0	1	9630	9658	207.684	/workspace/dev-sandbox/logs/a3_all_host_ce_sdma_io_matrix/20260912_095638/sdma_1m_d4_s4.log
1m	4	16	512	512	512	536870912	128	0	1556	1875	6	0	1	14417	14421	138.725	/workspace/dev-sandbox/logs/a3_all_host_ce_sdma_io_matrix/20260912_095638/sdma_1m_d4_s16.log
1m	8	1	512	512	512	536870912	128	0	1601	1863	23	1	1	25310	25372	158.040	/workspace/dev-sandbox/logs/a3_all_host_ce_sdma_io_matrix/20260912_095638/sdma_1m_d8_s1.log
1m	8	4	512	512	512	536870912	128	0	1566	1797	14	1	1	28306	28321	141.313	/workspace/dev-sandbox/logs/a3_all_host_ce_sdma_io_matrix/20260912_095638/sdma_1m_d8_s4.log
1m	8	16	512	512	512	536870912	128	0	1863	2134	12	1	1	23686	23707	168.876	/workspace/dev-sandbox/logs/a3_all_host_ce_sdma_io_matrix/20260912_095638/sdma_1m_d8_s16.log
