io_mode	devices	streams	io_num	io_calls_per_device_iteration	bytes_per_device_iteration	iterations	exit_code	submit_avg_us	submit_p90_us	start_skew_max_us	start_skew_avg_us	start_skew_p90_us	group_wall_avg_us	group_wall_p90_us	wall_bw_gb_s	log
glm5.1	1	1	512	1536	92274688	128	0	5620	5660	0	0	0	5636	5676	15.248	/home/l00966588/dev-sandbox/logs/all_host_ce_io_matrix/20260910_020859/glm51_d1_s1.log
glm5.1	1	4	512	1536	92274688	128	0	5159	5198	0	0	0	5173	5212	16.613	/home/l00966588/dev-sandbox/logs/all_host_ce_io_matrix/20260910_020859/glm51_d1_s4.log
glm5.1	1	16	512	1536	92274688	128	0	4527	4796	0	0	0	4572	4847	18.796	/home/l00966588/dev-sandbox/logs/all_host_ce_io_matrix/20260910_020859/glm51_d1_s16.log
glm5.1	4	1	512	1536	92274688	128	0	5601	5609	4	1	1	5625	5628	61.111	/home/l00966588/dev-sandbox/logs/all_host_ce_io_matrix/20260910_020859/glm51_d4_s1.log
glm5.1	4	4	512	1536	92274688	128	0	5758	5801	1	1	1	5777	5822	59.503	/home/l00966588/dev-sandbox/logs/all_host_ce_io_matrix/20260910_020859/glm51_d4_s4.log
glm5.1	4	16	512	1536	92274688	128	0	5825	6034	1823	15	1	5880	6081	58.461	/home/l00966588/dev-sandbox/logs/all_host_ce_io_matrix/20260910_020859/glm51_d4_s16.log
glm5.1	8	1	512	1536	92274688	128	0	5362	6163	1	1	1	5922	6186	116.093	/home/l00966588/dev-sandbox/logs/all_host_ce_io_matrix/20260910_020859/glm51_d8_s1.log
glm5.1	8	4	512	1536	92274688	128	0	6154	6410	1369	21	1	6182	6450	111.210	/home/l00966588/dev-sandbox/logs/all_host_ce_io_matrix/20260910_020859/glm51_d8_s4.log
glm5.1	8	16	512	1536	92274688	128	0	5801	6019	5	1	1	5847	6077	117.582	/home/l00966588/dev-sandbox/logs/all_host_ce_io_matrix/20260910_020859/glm51_d8_s16.log
1m	1	1	512	512	536870912	128	0	1428	1440	0	0	0	11753	11800	42.542	/home/l00966588/dev-sandbox/logs/all_host_ce_io_matrix/20260910_020859/1m_d1_s1.log
1m	1	4	512	512	536870912	128	0	1480	1504	0	0	0	10692	10722	46.764	/home/l00966588/dev-sandbox/logs/all_host_ce_io_matrix/20260910_020859/1m_d1_s4.log
1m	1	16	512	512	536870912	128	0	1534	1668	0	0	0	10744	10789	46.538	/home/l00966588/dev-sandbox/logs/all_host_ce_io_matrix/20260910_020859/1m_d1_s16.log
1m	4	1	512	512	536870912	128	0	3191	3463	8	1	1	16327	17740	122.496	/home/l00966588/dev-sandbox/logs/all_host_ce_io_matrix/20260910_020859/1m_d4_s1.log
1m	4	4	512	512	536870912	128	0	1617	1691	3	0	1	14224	15208	140.607	/home/l00966588/dev-sandbox/logs/all_host_ce_io_matrix/20260910_020859/1m_d4_s4.log
1m	4	16	512	512	536870912	128	0	1914	2319	1194	18	1	15200	16940	131.579	/home/l00966588/dev-sandbox/logs/all_host_ce_io_matrix/20260910_020859/1m_d4_s16.log
1m	8	1	512	512	536870912	128	0	2103	2393	195	2	1	17098	18747	233.945	/home/l00966588/dev-sandbox/logs/all_host_ce_io_matrix/20260910_020859/1m_d8_s1.log
1m	8	4	512	512	536870912	128	0	1866	1921	1	1	1	16128	16852	248.016	/home/l00966588/dev-sandbox/logs/all_host_ce_io_matrix/20260910_020859/1m_d8_s4.log
1m	8	16	512	512	536870912	128	0	8158	12077	6988	60	1	20807	20869	192.243	/home/l00966588/dev-sandbox/logs/all_host_ce_io_matrix/20260910_020859/1m_d8_s16.log
