io_mode	devices	streams	io_num	io_calls_per_device_iteration	bytes_per_device_iteration	iterations	exit_code	submit_avg_us	submit_p90_us	start_skew_max_us	start_skew_avg_us	start_skew_p90_us	group_wall_avg_us	group_wall_p90_us	wall_bw_gb_s	log
glm5.1	1	1	512	1536	92274688	128	0	5179	5216	0	0	0	5207	5239	16.504	/home/l00966588/dev-sandbox/logs/all_host_ce_io_matrix/20260909_100102/glm51_d1_s1.log
glm5.1	1	4	512	1536	92274688	128	0	5073	5104	0	0	0	5088	5118	16.890	/home/l00966588/dev-sandbox/logs/all_host_ce_io_matrix/20260909_100102/glm51_d1_s4.log
glm5.1	1	16	512	1536	92274688	128	0	4927	5305	0	0	0	4971	5348	17.288	/home/l00966588/dev-sandbox/logs/all_host_ce_io_matrix/20260909_100102/glm51_d1_s16.log
glm5.1	4	1	512	1536	92274688	128	0	6765	6821	5	1	1	6792	6833	50.611	/home/l00966588/dev-sandbox/logs/all_host_ce_io_matrix/20260909_100102/glm51_d4_s1.log
glm5.1	4	4	512	1536	92274688	128	0	5699	5817	1	1	1	5722	5835	60.075	/home/l00966588/dev-sandbox/logs/all_host_ce_io_matrix/20260909_100102/glm51_d4_s4.log
glm5.1	4	16	512	1536	92274688	128	0	6577	6747	1846	15	1	6644	6809	51.738	/home/l00966588/dev-sandbox/logs/all_host_ce_io_matrix/20260909_100102/glm51_d4_s16.log
glm5.1	8	1	512	1536	92274688	128	0	6333	6387	1	1	1	6355	6401	108.183	/home/l00966588/dev-sandbox/logs/all_host_ce_io_matrix/20260909_100102/glm51_d8_s1.log
glm5.1	8	4	512	1536	92274688	128	0	5904	6026	3290	26	1	5949	6045	115.566	/home/l00966588/dev-sandbox/logs/all_host_ce_io_matrix/20260909_100102/glm51_d8_s4.log
glm5.1	8	16	512	1536	92274688	128	0	6621	6775	2426	19	1	6693	6835	102.719	/home/l00966588/dev-sandbox/logs/all_host_ce_io_matrix/20260909_100102/glm51_d8_s16.log
1m	1	1	512	512	536870912	128	0	1686	1709	0	0	0	11875	11931	42.105	/home/l00966588/dev-sandbox/logs/all_host_ce_io_matrix/20260909_100102/1m_d1_s1.log
1m	1	4	512	512	536870912	128	0	1657	1672	0	0	0	10694	10732	46.755	/home/l00966588/dev-sandbox/logs/all_host_ce_io_matrix/20260909_100102/1m_d1_s4.log
1m	1	16	512	512	536870912	128	0	1557	1660	0	0	0	10745	10791	46.533	/home/l00966588/dev-sandbox/logs/all_host_ce_io_matrix/20260909_100102/1m_d1_s16.log
1m	4	1	512	512	536870912	128	0	2310	2374	7	1	1	29020	29145	68.918	/home/l00966588/dev-sandbox/logs/all_host_ce_io_matrix/20260909_100102/1m_d4_s1.log
1m	4	4	512	512	536870912	128	0	3027	5376	1	0	1	16934	19055	118.106	/home/l00966588/dev-sandbox/logs/all_host_ce_io_matrix/20260909_100102/1m_d4_s4.log
1m	4	16	512	512	536870912	128	0	5201	6013	1	0	1	27893	28071	71.703	/home/l00966588/dev-sandbox/logs/all_host_ce_io_matrix/20260909_100102/1m_d4_s16.log
1m	8	1	512	512	536870912	128	0	3931	5025	577	5	1	21097	21295	189.600	/home/l00966588/dev-sandbox/logs/all_host_ce_io_matrix/20260909_100102/1m_d8_s1.log
1m	8	4	512	512	536870912	128	0	1727	1705	1	1	1	14799	15468	270.289	/home/l00966588/dev-sandbox/logs/all_host_ce_io_matrix/20260909_100102/1m_d8_s4.log
1m	8	16	512	512	536870912	128	0	3866	4303	1	1	1	21358	21562	187.283	/home/l00966588/dev-sandbox/logs/all_host_ce_io_matrix/20260909_100102/1m_d8_s16.log
